nom,niveau,secteur_activité
Accompagnement vers l’emploi dans les métiers des services ou de l’industrie (AESI),Niveau 2 (infra CAP) - anciennement V bis ou VI,Services aux personnes et aux collectivités
Agent de restauration collective,Niveau 2 (infra CAP) - anciennement V bis ou VI,Services aux personnes et aux collectivités
Agent de restauration collective,Niveau 2 (infra CAP) - anciennement V bis ou VI,Services aux personnes et aux collectivités
Employé / Employée de collectivité,Niveau 2 (infra CAP) - anciennement V bis ou VI,Services aux personnes et aux collectivités
Ouvrier polyvalent d’entretien,Niveau 2 (infra CAP) - anciennement V bis ou VI,Services aux personnes et aux collectivités
Agent de propreté et d’hygiène,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Agent de propreté et d’hygiène,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Agent de Prévention et de Sécurité  (TFP),Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Agent de Prévention Sécurité,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Agent de Service Médico-Social,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Animateur d'activités et de vie quotidienne- CPJEPS,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Gardien d’immeuble,Niveau 3 (CAP-BEP) - anciennement niveau V,Services aux personnes et aux collectivités
Certificat Complémentaire  Direction d’Accueil Collectif de Mineurs  (CC DACM),Niveau 4 (Bac) - anciennement niveau IV,Services aux personnes et aux collectivités
Opérateur / Opératrice en videoprotection et télésurveillance,Niveau 4 (Bac) - anciennement niveau IV,Services aux personnes et aux collectivités
Conseiller en Insertion Professionnelle,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services aux personnes et aux collectivités
Employé d’Etage en Hôtellerie et en Hôtellerie de plein air,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services aux personnes et aux collectivités
Formateur professionnel d'adultes,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services aux personnes et aux collectivités
Responsable d'espaces de médiation numérique,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services aux personnes et aux collectivités
Bac Pro AGOrA - Assistance à la gestion des organisations et de leurs activités,Niveau 4 (Bac) - anciennement niveau IV,"Services aux personnes et aux collectivités, Services administratifs et commerciaux"
Conseiller relation client à distance (CRCD),Niveau 4 (Bac) - anciennement niveau IV,"Services aux personnes et aux collectivités, Distribution et vente"
"Brevet Professionnel de la Jeunesse, de l’Education Populaire et du Sport Animation Sociale (BPJEPS ASEC)",Niveau 4 (Bac) - anciennement niveau IV,"Services aux personnes et aux collectivités, Professions de la Sante et du Médico-social"
Agent de relation client à distance,Niveau 2 (infra CAP) - anciennement V bis ou VI,Services administratifs et commerciaux
Agent administratif,Niveau 3 (CAP-BEP) - anciennement niveau V,Services administratifs et commerciaux
Employé administratif et d’accueil / Employée administrative et d’accueil (EAA),Niveau 3 (CAP-BEP) - anciennement niveau V,Services administratifs et commerciaux
Passeport secrétariat,Niveau 3 (CAP-BEP) - anciennement niveau V,Services administratifs et commerciaux
Accueil-Relation Clients et Usagers (Bac Pro ARCU ),Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Chargé(e) d’accueil et de gestion administrative (CDAGA),Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Commercial / Commerciale,Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Comptable Assistant,Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Gestion administration (BAC PRO),Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Secrétaire assistant(e),Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Secrétaire assistant(e) Médico-Social(e),Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Secrétaire comptable,Niveau 4 (Bac) - anciennement niveau IV,Services administratifs et commerciaux
Assistant(e) de Direction,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Assistant(e) immobilier(e),"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Assistant(e) Ressources Humaines,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Comptable (BTS),"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Gestionnaire comptable et fiscal,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Gestionnaire d'Unité Commerciale,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Gestionnaire de paie,"Niveau 5 (BTS, Bac+2) - anciennement niveau III",Services administratifs et commerciaux
Comptable Assistant Sanitaire et Social/ Comptable Assistante Sanitaire et sociale (CASS),Niveau 4 (Bac) - anciennement niveau IV,"Services administratifs et commerciaux, Professions de la Sante et du Médico-social"
Agent de restauration (Vbis),Niveau 2 (infra CAP) - anciennement V bis ou VI,"Hôtellerie, Restauration et Tourisme"
CAP Pâtissier,Niveau 3 (CAP-BEP) - anciennement niveau V,"Hôtellerie, Restauration et Tourisme"
Cuisinier - cuisine,Niveau 3 (CAP-BEP) - anciennement niveau V,"Hôtellerie, Restauration et Tourisme"
Réceptionniste en hôtellerie,Niveau 4 (Bac) - anciennement niveau IV,"Hôtellerie, Restauration et Tourisme"
Employé Polyvalent de Restauration,"Niveau 5 (BTS, Bac+2) - anciennement niveau III","Hôtellerie, Restauration et Tourisme"
Opérateur graphiste en signalétique,Niveau 3 (CAP-BEP) - anciennement niveau V,Arts Graphiques
Technicien concepteur en communication visuelle (BAC Pro),Niveau 4 (Bac) - anciennement niveau IV,Arts Graphiques
